Title,Source,Google Timestamp,Exact Publish Time,URL,Full Text
"Iran conflict impacts Arab economies, regional power shifts",Crypto Briefing,2 hours ago,2026-04-09T20:32:40+00:00,https://cryptobriefing.com/iran-conflict-impacts-arab-economies-regional-power-shifts/,"Arab economies have dropped 7% due to the ongoing Iran conflict, with Iran using the situation to shift regional power. The Iranian regime’s fall by June 30 is at 11.5% YES, up from 8% 24 hours ago.

Iran’s control of the Strait of Hormuz has intensified economic pressure on GCC states and expanded Iran’s regional influence. The Iranian regime fall by June 30 odds have climbed slightly but remain low, suggesting traders view Iran’s current position as stable rather than fragile. The market is thin: $22,171 in capital would move the price 5 points.

The US-Iran ceasefire by April 15 sits at 100.0% YES, pricing in full confidence that the recent diplomatic pause holds. Other ceasefire dates, including April 30 and May 31, show the same certainty. Traders expect sustained diplomacy rather than renewed hostilities. Volume at $3,232,549 in actual USDC backs that conviction.

The market’s modest increase in regime change odds signals skepticism that current economic pressures will cause a collapse. At 12¢ , a YES share pays $1 if the regime falls by June 30, an 8.3x return. That bet only makes sense for traders who believe internal fractures will emerge fast.

Watch for statements from Oman and Qatar as intermediaries. Any movement toward formalized negotiations or shifts in Iran’s control of Hormuz could move these markets quickly.

Get prediction market intelligence as a structured API feed. Early access waitlist."
US-Iran ceasefire impacts market on regime change by June 30,Crypto Briefing,2 hours ago,2026-04-09T19:13:40+00:00,https://cryptobriefing.com/us-iran-ceasefire-impacts-market-on-regime-change-by-june-30/,"The two-week US-Iran ceasefire announced on April 8 has moved the market on Iranian regime change by June 30, with odds now at 11.5% YES, up from 8% yesterday.

Market reaction

The June 30 market moved 3.5 points in 24 hours. The uptick suggests traders are reassessing the probability of regime change given the temporary reprieve. The market has $408,385 in face value and $36,383 in daily USDC volume, with $22,171 required to move the price 5 points.

Why it matters

The ceasefire reduces the immediate risk of military escalation but leaves core disputes unresolved. Iran’s nuclear program and its regional proxy network remain points of contention. The truce is two weeks long, and ongoing Israeli attacks on Lebanon suggest any cooling could be brief. That said, the ceasefire itself signals the regime can negotiate, which works against the thesis of near-term collapse.

What to watch

At 11.5% YES, buying YES shares pays 8.7x if the regime falls by June 30. For that bet to hit, you’d need significant internal destabilization within 82 days: major protests, military defections, or unexpected leadership changes. Track Mojtaba Khamenei’s public presence and any moves by the Assembly of Experts. Signs of regime fracture or decisive US action would move these odds fast.

API access

Get prediction market intelligence as a structured API feed. Early access waitlist."
Iran’s weakened command structure poses threat despite regime fall speculation,Crypto Briefing,12 hours ago,2026-04-09T08:05:04+00:00,https://cryptobriefing.com/irans-weakened-command-structure-poses-threat-despite-regime-fall-speculation/,"Iran’s command structure is reportedly weakened, yet uncoordinated operatives continue to pose a threat. The odds for the Iranian regime to fall by June 30 are at 12% YES, up from 8% a day ago.

Market reaction

The Iranian regime fall by June 30 contract rose modestly as traders priced in potential leadership struggles or internal fractures. The US-Iran ceasefire market remains at 100% YES for April 15, which means traders are either dismissing the source’s credibility or anticipating diplomatic moves not yet public.

With $36,383 in USDC traded, the regime fall market isn’t thin but is still vulnerable to large orders. The largest recent move was a 1-point drop at 7:52 AM, a sign of this market’s sensitivity. For ceasefire markets, high volume and face value don’t necessarily signal confidence: $3.2M in USDC traded across the term structure suggests institutional-level engagement.

Why it matters

A weakened command could lead to regime collapse. A YES share at 12¢ pays $1 if it happens by June 30, a 8.33x return. But the decentralized threat could also prolong conflict and complicate ceasefire prospects. Traders need to weigh the likelihood of further destabilizing events against diplomatic overtures.

What to watch

Keep an eye on IRGC activities and any signals from Mojtaba Khamenei or the Assembly of Experts. Their moves will either stabilize or further destabilize the regime. Watch for shifts in US diplomatic efforts or military posture, especially from CENTCOM.

API access

Get prediction market intelligence as a structured API feed. Early access waitlist."
Iran Supreme Leader to address war as US-Iran ceasefire talks approach,Crypto Briefing,2 hours ago,2026-04-09T16:52:57+00:00,https://cryptobriefing.com/iran-supreme-leader-to-address-war-as-us-iran-ceasefire-talks-approach/,"Iran’s Supreme Leader is set to release a message on the war, timed to the 40-day mark since the death of his predecessor. The US-Iran ceasefire by April 15 market sits at 100% YES, up from 18% a week ago.

Market reaction

The ceasefire markets for April 15, April 30, and beyond are all locked at 100% YES. The April 15 market moved from 18% to 100% in one week, ahead of peace talks set for April 7. The June 30 regime fall market is at 11.5% YES, up from 8%. The upcoming statement, though, points to a government still functioning and engaging publicly.

Why it matters

The ceasefire market has daily face value of $4.2M and actual USDC traded at $3.2M, enough liquidity that large orders can move the price. The regime fall market, with $36,383 in actual USDC traded, is far thinner and vulnerable to volatility from single large trades.

What to watch

The Supreme Leader’s message could signal Iran’s commitment to the ceasefire or hint at future actions. A YES share in the regime fall market at 12¢ pays $1 if the regime collapses by June 30, an 8.3x return. That bet requires believing a major destabilizing event happens within 82 days.

Watch for language on Iran’s strategic priorities, any mention of Hormuz, or shifts in military posture. The talks in Islamabad on April 7 will test whether Iran’s position holds.

API access

Get prediction market intelligence as a structured API feed. Early access waitlist."
Iran survives major strikes; US-Iran ceasefire seen as certain by April 30,Crypto Briefing,6 hours ago,2026-04-09T15:23:22+00:00,https://cryptobriefing.com/iran-survives-major-strikes-us-iran-ceasefire-seen-as-certain-by-april-30/,"Israel’s military operations against Iran have produced substantial battlefield results, but Iran’s government remains intact. The market on whether the Iranian regime will fall by June 30 sits at 11.5% YES, up from 8% just 24 hours ago.

The 11.5% YES odds show traders are reluctant to bet against regime survival even after significant military losses. This market trades $36,383 in USDC daily. With 82 days until resolution, the price reflects some uncertainty, but the regime has absorbed military strikes without visible internal fracture.

US-Iran ceasefire markets tell a different story. Odds for a ceasefire by April 15 are at 100.0% YES, and the April 30 market shows the same at 100.0% YES. Traders are pricing in a formal cessation of hostilities as a near-certainty despite ongoing military action.

The gap between active military operations and regime stability pricing is the key signal here. The regime has survived major strikes without triggering the kind of internal power struggles or popular uprisings that would move the collapse market higher. A YES share at 11.5¢ pays $1 if the regime falls by June 30, a potential 8.7x return.

Watch for changes within Iran’s political hierarchy, particularly IRGC leadership reshuffles, which could shift market sentiment. US diplomatic moves and actions by regional intermediaries could also change the calculus quickly.

Get prediction market intelligence as a structured API feed. Early access waitlist."
"US achieves military objectives in Iran, ceasefire by April 15 confirmed",Crypto Briefing,2 hours ago,2026-04-09T20:53:30+00:00,https://cryptobriefing.com/us-achieves-military-objectives-in-iran-ceasefire-by-april-15-confirmed/,"The US has achieved its military objectives in Iran, including dismantling Iran’s military capabilities. A ceasefire by April 15 is now at 100% YES, up from 18% just a week ago.

All ceasefire sub-markets have moved to certainty. The April 15 market resolves in 6 days and matches recent ceasefire announcements from the White House. The April 30 and May 31 markets have also reached 100% YES. A few weeks ago, escalation seemed imminent.

The US forces entering Iran by April 30 market remains at 100% YES, unchanged from 24 hours ago. This suggests traders see resumed hostilities as a real possibility even with a ceasefire in place. Volume on this market is $93.97M in actual USDC.

The Iranian regime fall by June 30 market ticked up to 11.5% YES from 8% yesterday. The military defeat and the death of Supreme Leader Ali Khamenei are driving speculation about regime instability. At 12¢, a YES share pays $1 if the regime collapses by June 30, a 8.3x return. That bet requires high confidence in further destabilization or leadership voids.

Watch for Trump’s next moves or shifts in Pentagon rhetoric on US military posture. The Sultan of Oman or Qatar’s intermediaries could also provide early signals of diplomatic developments.

Get prediction market intelligence as a structured API feed. Early access waitlist."
Iran’s Khamenei declares unified resistance amid US-Israel tensions,Crypto Briefing,4 hours ago,2026-04-09T17:58:49+00:00,https://cryptobriefing.com/irans-khamenei-declares-unified-resistance-amid-us-israel-tensions/,"Iran’s Supreme Leader Mojtaba Khamenei declared “all resistance fronts are a unified entity,” signaling regime cohesion. The odds of the Iranian regime falling by June 30 are at 11.5% YES, up from 8% a day ago.

The statement is part of Mojtaba Khamenei’s effort to consolidate power during the ongoing Iran-U.S.-Israel conflict. The Iranian regime fall by June 30 market saw a 3.5-point increase in 24 hours, with traders repricing regime stability risk. With 82 days until resolution, the market still heavily favors the regime holding.

The trading volume tells a more cautious story than the price move. Daily real USDC traded sits at $36,383, while order book depth requires $22,171 to move the price 5 points. The largest single price movement was a 1-point drop, suggesting incremental sentiment shifts rather than any dramatic catalyst.

Khamenei’s declaration of unified resistance is a direct attempt to project internal stability and deter opposition, which decreases the likelihood of regime collapse in the short term. At 11.5¢, a YES share pays $1 if the regime falls by June 30, an 8.7x return. To justify this bet, traders would need to believe the regime faces a severe, unforeseen crisis in the next 82 days.

Watch for signals of internal dissent within the IRGC or unexpected actions by the Assembly of Experts. Any public absence of Mojtaba Khamenei or major shifts in US or Israeli military posture could move these odds.

Get prediction market intelligence as a structured API feed. Early access waitlist."
Azadi Tower darkened as Iran marks 40th day since Khamenei’s assassination,Crypto Briefing,3 hours ago,2026-04-09T19:18:49+00:00,https://cryptobriefing.com/azadi-tower-darkened-as-iran-marks-40th-day-since-khameneis-assassination/,"The Azadi Tower’s lights were turned off to mark the 40th day since Ayatollah Khamenei’s assassination, and the odds of the Iranian regime falling by June 30 are now at 11.5% YES, up from 8% twenty-four hours ago.

The lights-off gesture follows Iran’s mourning rituals and comes during a tense political climate. Traders are reacting to this as a sign of instability, pushing the June 30 market higher. Polymarket’s sub-market shows a slight increase, with potential concerns over the leadership transition as Mojtaba Khamenei, the designated successor, remains absent from public view.

This market trades $36,383 in USDC daily. It takes $22,171 to shift the price five points, indicating moderate liquidity. The largest recent move was a one-point drop, so volatility has been limited. But the symbolic darkening of the Azadi Tower has caught traders’ attention as a possible signal of latent instability.

The regime is exposed during this transition period. A YES share bought at 12¢ pays out $1 if the regime falls by June 30, a 8.3x return. To justify this bet, you’d need to believe that internal fractures or external pressures will escalate sharply within the next 82 days.

Watch for signs of internal fractures: IRGC defections, unexpected Assembly of Experts meetings, or shifts in Mojtaba Khamenei’s public visibility. His continued absence from public appearances would be the clearest signal that the succession is not going smoothly.

Get prediction market intelligence as a structured API feed. Early access waitlist."
"Iran attacks Bahrain, breaching ceasefire agreement",Crypto Briefing,2 hours ago,2026-04-09T17:37:23+00:00,https://cryptobriefing.com/iran-attacks-bahrain-breaching-ceasefire-agreement/,"Iran’s attack on Bahrain breaches the ceasefire announced just a day prior. The US-Iran ceasefire by April 15 market sits at 100% YES, though the attack raises questions about whether that ceasefire holds.

The market for Iranian regime fall by June 30 is now at 12% YES, up from 8% yesterday. Traders appear to read the ongoing attacks as a sign of internal instability within Iran, raising the probability of regime change. US forces entering Iran by April 30 is at 100% YES, consistent with the potential for military escalation.

The Iranian regime fall market has actual USDC volume at $36,383 per day, with $22,171 depth to move it 5 points, indicating moderate liquidity. The US-Iran ceasefire market trades $3,232,549 in actual USDC daily, showing heavy trader interest.

The attack directly undermines the ceasefire’s credibility, even as the market holds at 100% YES. Traders are weighing Iran’s actions against diplomatic rhetoric. The US 5th Fleet is stationed in Bahrain, and the attack could provoke a stronger military response.

Watch for CENTCOM operational statements and any new diplomatic moves from intermediaries like Oman or Qatar. US troop movements or explicit ceasefire violations could shift these markets quickly.

Get prediction market intelligence as a structured API feed. Early access waitlist."
"Iran insists Khamenei healthy amid US-Israel strikes, leadership doubts persist",Crypto Briefing,5 hours ago,2026-04-09T15:58:39+00:00,https://cryptobriefing.com/iran-insists-khamenei-healthy-amid-us-israel-strikes-leadership-doubts-persist/,"Iran’s deputy foreign minister insists Supreme Leader Mojtaba Khamenei is healthy and in control, contradicting intelligence suggesting he’s incapacitated. Iranian regime fall by June 30 is at 11.5% YES, up from 8% yesterday.

Market reaction

The statement follows ongoing US-Israel strikes that allegedly injured Khamenei, fueling speculation about leadership instability. The June 30 market has seen increased activity as traders price in skepticism about the official narrative. Market odds moved from 8% to 11.5% in 24 hours.

Liquidity sits at $36,383 in daily USDC volume, and it takes $22,171 to move the price 5 points. The largest recent move was a 1-point drop at 7:52 AM, meaning the market reacts to new information but isn’t easily pushed by small trades.

Why it matters

The deputy foreign minister’s statement is an attempt to project stability, but Khamenei has not appeared publicly, and reports of AI-generated videos of him have raised doubts about his condition. Traders are pricing in the possibility of regime fracture as reports of severe injuries circulate.

What to watch

A YES share at 11.5¢ pays $1 if the regime falls by June 30, a 8.7x return. For that bet to pay off, the regime’s internal cohesion would need to be deteriorating fast. Key signals: IRGC internal dissent, the Assembly of Experts convening, or any credible public sighting of Mojtaba Khamenei. Any of these could move the market sharply.

API access

Get prediction market intelligence as a structured API feed. Early access waitlist."
Tehran’s Arba’een ceremony projects regime stability amid market speculation,Crypto Briefing,12 hours ago,2026-04-09T10:04:34+00:00,https://cryptobriefing.com/tehrans-arbaeen-ceremony-projects-regime-stability-amid-market-speculation/,"Tehran’s Arba’een ceremony for Ayatollah Khamenei demonstrated the regime’s capacity to mobilize public sentiment. The market on whether the Iranian regime will fall by June 30 is at 11.5% YES, up from 8% yesterday.

The ceremony is part of a strategy to frame the assassinations as sacred martyrdom, reinforcing Iran’s domestic and regional narrative. It projects stability rather than imminent collapse, which directly affects the Iranian regime fall by June 30 market. This market now sits at 11.5% , up from 8% over the past 24 hours, with 82 days until resolution.

Market volume is $36,383 in USDC. It takes $22,171 to move the odds by five percentage points, indicating a relatively stable book. The largest move in the past 24 hours was a 1-point drop. The odds suggest most traders believe the regime maintains its grip on power despite recent upheavals.

For traders, these ceremonial displays are more relevant to assessing regime resilience than to predicting near-term military escalation. A YES share at 12¢ pays $1 if the regime falls by June 30, an 8.3x return. That bet requires belief in significant destabilization within 82 days.

Watch for actions by Mojtaba Khamenei and the IRGC Supreme Council. Any movements by the Assembly of Experts or visible internal fractures could shift this market quickly.

Get prediction market intelligence as a structured API feed. Early access waitlist."
"US-Iran ceasefire official, markets settle with $3.2M traded",Crypto Briefing,10 hours ago,2026-04-09T11:49:42+00:00,https://cryptobriefing.com/us-iran-ceasefire-official-markets-settle-with-32m-traded/,"The US-Iran ceasefire, announced on April 8, 2026, is now official. The ceasefire by April 15 market sits at 100% YES, up from 18% a week ago.

All related sub-markets have fully resolved. The April 15 sub-market is at 100% . The April 30, May 31, June 30, and December 31 markets are all at 100% YES. These markets are settled.

Meanwhile, odds for the Iranian regime falling by June 30 dropped slightly. That market sits at 11.5% YES, down from 8% to 10% over the past week. The ceasefire implies a regime stable enough to negotiate, which deflates collapse odds.

Ceasefire markets saw $3.23M in actual USDC traded over the last 24 hours. The regime fall market, by contrast, traded just $36K in actual USDC, making it far less liquid and more prone to price swings from larger orders.

The ceasefire is a tactical pause, not a strategic resolution. Israel views it as a chance to regroup, while Iran rebuilds its capabilities. Traders betting on regime instability should watch for IRGC fractures or major protests. At 12¢, a YES share pays $1 if the regime falls by June 30, an 8.3x return. For that bet to make sense, you’d need signals of internal fracture soon.

Watch for IRGC leadership moves and any sudden public absences from Mojtaba Khamenei. Either could precede regime instability.

Get prediction market intelligence as a structured API feed. Early access waitlist."
Peter MacKay urges diplomatic regime change in Iran over military action,Crypto Briefing,11 hours ago,2026-04-09T11:18:29+00:00,https://cryptobriefing.com/peter-mackay-urges-diplomatic-regime-change-in-iran-over-military-action/,"Peter MacKay is urging democratic nations to pursue regime change in Iran through diplomacy and pressure rather than short-term stability measures. The market for Iranian regime fall by June 30 sits at 12% YES, up from 10% a week ago.

MacKay’s statement comes amid a broader shift toward diplomatic approaches to Iran’s internal crisis. The regime fall market at 12% suggests traders are pricing in diplomatic pressure over military intervention. The market dipped 1 point earlier but recovered, showing sensitivity to geopolitical rhetoric.

The US-Iran ceasefire by April 15 is at 100% YES , meaning traders treat a diplomatic resolution as a foregone conclusion. Ceasefire markets for later dates also hold at 100% , consistent with broad confidence in de-escalation.

The Iranian regime fall market trades $36,383 in USDC daily. It takes $22,171 to move it 5 points, which indicates moderate liquidity. The largest recent move was minimal, a sign of cautious sentiment on regime change. MacKay’s comments could push these odds higher if followed by concrete diplomatic actions.

MacKay’s preference for diplomacy over military action separates him from more hawkish voices in the Trump administration. A YES share at 12¢ pays $1 if the regime collapses by June 30, an 8.3x payout. For this bet to pay off, traders would need to see IRGC fractures or diplomatic breakthroughs within the next 82 days.

Watch for regional diplomatic moves from Saudi Arabia, the UAE, and Turkey. Any unexpected convening of the Assembly of Experts or significant IRGC defections would also shift the odds.

Get prediction market intelligence as a structured API feed. Early access waitlist."
